Stations_id;Bezugszeitraum;Datenquelle;Jan.;Feb.;März;Apr.;Mai;Jun.;Jul.;Aug.;Sept.;Okt.;Nov.;Dez.;Jahr;
      4485;1991-2020;        46;        .3;         1;       4.4;       8.9;        13;      16.3;      18.2;      17.8;      13.4;       8.8;       4.4;       1.3;         9;
      4489;1991-2020;        46;       1.3;       1.7;       4.6;       8.9;        13;      16.2;      18.4;      18.1;      13.9;       9.3;       5.3;       2.2;       9.4;
      4490;1991-2020;        46;       1.8;       2.5;       5.9;       9.9;      13.8;      17.1;        19;      18.4;      14.4;      10.1;       5.7;       2.7;      10.1;
      4501;1991-2020;        51;        -3;      -2.5;        .5;         5;       9.2;      12.4;      14.4;      14.3;      10.2;       5.7;       1.2;        -2;       5.4;
      4505;1991-2020;        46;      -1.6;      -1.1;       1.9;       6.5;      10.8;      14.2;        16;      15.8;      11.7;       7.4;       2.6;       -.6;         7;
      4508;1991-2020;        51;       -.3;        .2;       3.1;       6.8;      10.6;      13.7;      15.6;      15.3;      11.7;       7.7;       3.5;        .6;       7.3;
      4548;1991-2020;        42;      -1.6;        -1;       2.4;       7.1;      11.4;      14.7;      16.5;      16.1;      11.9;       7.4;       2.6;       -.7;       7.2;
      4557;1991-2020;        46;        .9;       1.8;       5.5;       9.5;      13.6;      17.2;        19;      18.5;      14.1;       9.8;       4.8;       1.9;       9.7;
      4559;1991-2020;        42;       -.5;        .2;       3.9;       8.5;      13.1;      16.5;      18.3;      17.7;        13;       8.4;       3.6;        .5;       8.6;
      4560;1991-2020;        51;         1;       1.5;         5;       9.2;      13.2;      16.3;      18.2;      17.7;      13.6;       9.3;       4.8;       1.8;       9.3;
      4571;1991-2020;        46;       -.2;        .1;       2.9;       7.2;      11.4;      14.5;      16.5;      16.3;      12.3;         8;       3.8;        .7;       7.8;
      4576;1991-2020;        46;        .4;       1.1;       4.8;       9.4;      13.9;      17.3;      19.1;      18.6;      13.9;       9.1;       4.3;       1.2;       9.4;
      4581;1991-2020;        46;       1.1;       1.8;       5.3;       9.5;      13.7;      17.1;      18.9;      18.6;      14.2;       9.8;       4.9;       1.9;       9.7;
      4582;1991-2020;        46;       1.1;       1.8;       5.4;       9.7;      13.7;      17.2;        19;      18.6;      14.2;       9.7;         5;       1.9;       9.8;
      4584;1991-2020;        46;       -.3;        .7;       4.7;       9.2;      13.7;      17.1;      18.8;      18.4;      13.7;         9;         4;        .7;       9.1;
      4586;1991-2020;        46;         1;       1.6;       4.9;       8.9;      12.9;      16.1;      18.1;      17.5;      13.5;       9.2;       4.7;       1.8;       9.2;
      4592;1991-2020;        51;       -.4;        .5;       4.5;       9.3;        14;      17.5;      19.2;      18.6;      13.7;       8.6;       3.8;        .5;       9.1;
      4593;1991-2020;        46;       1.4;         2;         5;       9.5;      13.7;      16.8;        19;      18.7;      14.5;       9.8;       5.4;       2.3;       9.8;
      4597;1991-2020;        46;      -1.2;       -.3;       3.3;       7.6;      11.8;      15.3;        17;      16.7;      12.4;       8.2;       3.3;       -.2;       7.8;
      4605;1991-2020;        51;        .6;       1.1;       4.2;       8.5;      12.7;        16;      17.8;      17.2;      12.9;       8.7;       4.5;       1.5;       8.8;
